GHGRP ID,Observation Date,Average Landfill Point Source Emission (kg/h),Average Landfill Point Source Emission Uncertainty (kg/h)
1007699,6/18/2017,657,266
1007699,6/20/2017,175,72
1007699,10/3/2017,413,119
1007699,10/6/2017,1096,546
1007699,9/20/2018,352,94
1007699,10/9/2018,121,57
1007699,11/15/2020,570,297
1007699,11/7/2021,552,171
1002236,9/26/2022,1968,1180
1002236,9/27/2022,1804,758
1002236,10/8/2022,,
1007710,10/12/2017,128,33
1004352,4/1/2022,936,318
1004352,5/2/2022,230,130
1006777,6/30/2022,1720,407
1006777,7/22/2022,,
1006777,9/9/2022,,
1008034,8/15/2021,125,40
1008034,6/30/2022,,
1003456,5/13/2021,798,308
1007800,6/7/2022,821,313
1007800,6/10/2022,5026,1447
1007800,6/17/2022,479,247
1002896,9/13/2017,140,34
1004406,11/11/2020,121,40
1007684,6/7/2022,,
1004815,7/22/2022,,
1004245,4/28/2022,894,211
1004245,9/21/2022,905,370
1004245,9/28/2022,,
1004245,9/29/2022,,
1003818,7/30/2020,87,42
1003818,8/2/2020,130,56
1007951,9/7/2017,788,274
1007794,9/20/2017,130,49
1010207,8/30/2017,57,17
1003102,6/30/2022,1389,376
1003102,9/9/2022,2248,792
1007521,6/30/2022,125,30
1001633,9/28/2022,1156,258
1002899,4/11/2022,2149,575
1003099,9/26/2022,2361,951
1003099,9/27/2022,1453,436
1003099,10/8/2022,4730,884
1001844,10/24/2022,985,290
1002992,9/7/2017,382,136
1002992,9/6/2020,558,96
1002992,11/11/2021,76,52
1004848,9/27/2022,1439,405
1003646,6/10/2022,4376,1829
1003646,6/17/2022,487,197
1002556,5/11/2021,591,161
1002104,9/1/2017,827,530
1002276,6/30/2022,260,97
1002276,7/20/2022,,
1002276,9/15/2022,,
1007709,7/18/2021,52,14
1007709,7/19/2021,126,70
1007709,7/22/2021,134,28
1003544,10/14/2022,1565,285
1005493,5/6/2022,2656,1017
1005493,6/4/2022,5030,1737
1005493,6/14/2022,2130,668
1003710,4/23/2022,,
1003710,4/27/2022,883,599
1003710,9/22/2022,,
1007801,6/16/2022,,
1007693,9/6/2020,581,299
1007693,9/19/2020,448,184
1007693,11/14/2020,855,448
1007693,11/10/2021,659,375
1007693,11/11/2021,1363,628
1007693,3/2/2022,841,385
1007693,3/18/2022,818,312
1007693,4/1/2022,408,222
1006103,7/21/2022,,
1007044,9/27/2022,764,337
1007044,10/8/2022,598,444
1004010,9/30/2017,1532,778
1004010,10/3/2017,1147,429
1004010,10/5/2018,494,220
1004010,10/9/2018,442,158
1004010,11/12/2020,185,117
1004010,11/15/2020,456,259
1004010,11/20/2020,1506,595
1002107,10/1/2016,428,162
1002107,10/23/2017,745,436
1002107,10/1/2018,759,226
1002107,7/16/2020,250,99
1002107,7/20/2020,337,100
1002107,8/11/2020,231,67
1002107,8/14/2020,201,55
1002107,8/30/2020,323,86
1002107,9/6/2020,490,239
1002107,9/19/2020,624,149
1002107,11/11/2020,2125,578
1002107,11/14/2020,1653,768
1002107,11/17/2020,2643,1096
1002107,11/10/2021,157,70
1002107,11/11/2021,1255,562
1002107,3/2/2022,668,309
1002107,3/11/2022,1576,630
1002107,3/18/2022,661,198
1002107,4/1/2022,437,151
1002107,9/16/2022,79,36
1003911,7/15/2021,153,68
1003911,7/17/2021,71,51
1003911,7/19/2021,86,33
1003911,7/22/2021,178,51
1003911,9/22/2021,193,98
1003911,9/25/2021,150,86
1003911,9/27/2021,117,54
1004256,4/20/2022,2822,930
1004256,4/23/2022,3659,1177
1004256,4/25/2022,3002,794
1004256,4/27/2022,1638,355
1004256,9/21/2022,,
1004256,9/22/2022,,
1004256,9/26/2022,,
1004256,9/27/2022,3278,846
1004483,10/14/2022,,
1007837,6/18/2017,120,72
1004014,4/20/2022,2560,720
1004014,4/22/2022,3843,1622
1004014,4/23/2022,4153,1394
1004014,4/27/2022,3687,895
1004014,4/29/2022,1735,731
1004014,9/20/2022,2483,768
1004014,9/21/2022,,
1004014,9/23/2022,,
1004014,9/28/2022,,
1004014,9/29/2022,,
1002476,5/8/2021,,
1007128,10/7/2017,69,25
1004011,10/5/2016,341,104
1004011,6/17/2017,594,129
1004011,6/20/2017,70,18
1004011,9/10/2017,180,80
1004011,10/6/2017,432,210
1004011,9/20/2018,851,345
1004011,10/5/2018,247,75
1004011,11/12/2020,2615,752
1004011,11/15/2020,294,90
1004011,11/20/2020,384,217
1004011,11/7/2021,1417,492
1004011,4/6/2022,790,292
1004011,5/14/2022,760,257
1006261,5/11/2021,603,108
1004037,10/5/2017,227,76
1004037,10/9/2018,297,127
1004037,11/12/2020,112,29
1004037,11/15/2020,584,192
1004037,11/20/2020,704,404
1004399,6/30/2022,4099,1139
1004399,9/9/2022,2543,740
1007817,6/18/2017,72,39
1007817,11/15/2020,283,138
1004913,4/11/2022,2513,798
1007969,6/30/2022,1484,467
1007969,7/20/2022,,
1007969,7/21/2022,5024,1741
1007969,9/9/2022,3112,1557
1006899,6/7/2022,3860,656
1006899,6/10/2022,424,126
1007857,4/10/2022,2676,908
1007857,4/13/2022,1664,430
1002951,8/15/2021,187,125
1003732,8/15/2021,444,333
1003732,10/5/2022,2695,1200
1004550,10/7/2017,184,72
1004550,11/12/2020,245,118
1004550,11/15/2020,464,219
1004550,11/7/2021,456,343
1006179,6/18/2017,2436,1065
1006179,6/20/2017,1010,263
1006179,10/5/2017,742,375
1006179,10/6/2017,476,176
1006179,9/27/2018,830,395
1006179,10/5/2018,594,288
1006179,11/12/2020,1756,920
1006179,11/15/2020,2158,1132
1006179,11/7/2021,3933,1499
1006179,4/6/2022,3922,1950
1006179,5/14/2022,3522,987
1004850,6/30/2022,1136,256
1004850,7/20/2022,,
1004850,9/15/2022,,
1006859,4/11/2022,,
1007558,9/25/2017,316,72
1007558,4/1/2022,292,106
1007880,7/12/2021,199,56
1007880,7/18/2021,170,76
1003686,9/17/2022,1043,298
1003619,4/12/2022,,
1002320,10/6/2016,132,50
1002320,11/8/2017,187,86
1002320,10/1/2018,724,313
1002320,10/10/2018,128,36
1002320,7/20/2020,254,89
1002320,8/11/2020,212,86
1002320,9/6/2020,80,35
1002320,11/14/2020,206,128
1002320,11/10/2021,194,98
1002320,11/11/2021,84,61
1005257,10/5/2022,,
1008215,4/11/2022,4771,1437
1007112,6/18/2017,1637,664
1007112,6/20/2017,2883,1027
1007112,10/6/2017,1618,659
1007112,9/20/2018,576,281
1007112,9/27/2018,352,180
1007112,11/12/2020,1324,644
1007112,11/15/2020,1814,1140
1007112,4/6/2022,,
1007112,5/14/2022,,
1006383,7/22/2022,3608,1062
1006328,4/20/2022,,
1006328,4/23/2022,1706,759
1006328,4/27/2022,1304,825
1006328,9/22/2022,,
1006328,9/26/2022,2928,507
1002478,4/20/2022,,
1002478,4/23/2022,3571,1517
1002478,4/25/2022,2356,786
1002478,4/27/2022,,
1002478,9/22/2022,,
1002478,9/26/2022,,
1002478,9/27/2022,3763,744
1007745,8/15/2021,287,201
1007745,6/30/2022,,
1007745,7/21/2022,,
1007745,9/15/2022,,
1002646,4/19/2022,5079,1409
1002646,4/22/2022,,
1002646,4/27/2022,1940,525
1002646,4/29/2022,,
1002646,9/20/2022,1952,616
1002646,9/21/2022,,
1002646,9/23/2022,,
1002646,9/28/2022,,
1002646,9/29/2022,,
1007345,6/17/2017,310,171
1007345,10/5/2017,239,101
1007345,10/6/2017,1299,426
1007345,9/20/2018,629,245
1007345,10/5/2018,91,31
1007345,11/12/2020,627,264
1007345,11/15/2020,63,28
1007345,11/20/2020,37,18
1007345,11/7/2021,,
1002106,10/23/2017,38,22
1005042,9/18/2020,397,75
1005042,11/12/2020,151,30
1005042,11/15/2020,617,170
1007668,6/17/2017,589,106
1007668,6/20/2017,578,230
1007668,10/5/2017,52,20
1007668,9/27/2018,133,70
1004487,4/20/2022,6039,1938
1004487,4/23/2022,3205,1827
1004487,4/25/2022,1939,736
1004487,4/27/2022,3386,1518
1004487,9/22/2022,,
1004487,9/26/2022,3471,677
1004487,9/27/2022,3175,474
1005717,5/6/2021,2435,1045
1005717,10/26/2021,9662,4558
1005717,6/4/2022,8863,2887
1005717,6/15/2022,,
1003601,6/30/2022,2236,527
1003601,9/17/2022,,
1003481,9/24/2022,336,156
1003481,9/26/2022,688,262
1004856,7/22/2022,,
1003471,8/2/2020,86,45
1002831,8/8/2020,68,20
1004118,9/23/2022,4686,1914
1003687,8/15/2021,227,67
1003687,6/30/2022,,
1003198,11/11/2021,173,71
1005638,4/20/2022,3559,723
1005638,4/23/2022,1977,739
1005638,4/25/2022,2560,1167
1005638,4/27/2022,998,353
1005638,9/22/2022,,
1005638,9/26/2022,,
1005638,9/27/2022,,
1002035,5/18/2021,671,524
1006149,10/1/2016,315,94
1006149,10/10/2017,193,90
1006149,11/13/2017,80,20
1006149,7/9/2020,270,137
1006149,7/15/2020,305,37
1006149,7/27/2020,359,84
1006149,9/3/2020,140,26
1006149,9/24/2020,200,30
1007082,4/23/2022,,
1007082,4/27/2022,981,307
1007082,4/28/2022,,
1007082,9/20/2022,,
1007082,9/28/2022,,
1007082,9/29/2022,,
1003104,10/16/2022,,
1007816,11/11/2020,171,108
1004497,8/15/2021,238,114
1004497,6/30/2022,,
1004497,9/15/2022,1417,622
1008057,9/25/2017,301,52
1007691,5/14/2021,374,200
1007219,4/10/2022,,
1006790,4/20/2022,,
1006790,4/23/2022,1507,384
1006790,4/25/2022,,
1006790,4/27/2022,2339,486
1006790,9/20/2022,,
1006790,9/21/2022,,
1006790,9/28/2022,,
1006790,9/29/2022,,
1003679,9/11/2016,218,53
1003679,10/3/2016,1683,692
1003679,3/9/2017,1552,922
1003679,6/15/2017,49,25
1003679,6/19/2017,3466,1067
1003679,8/28/2017,1606,675
1003679,9/1/2017,261,161
1003679,9/18/2017,820,253
1003679,9/22/2017,58,36
1003679,10/10/2017,336,174
1003679,10/16/2017,1484,547
1003679,10/26/2017,243,127
1003679,9/22/2018,1019,460
1003679,10/1/2018,1307,579
1003679,10/10/2018,1271,560
1003679,7/8/2020,765,237
1003679,7/16/2020,317,110
1003679,8/25/2020,485,223
1003679,8/30/2020,86,35
1003679,11/11/2020,144,99
1003679,11/10/2021,1981,752
1003679,11/11/2021,1447,233
1003679,2/28/2022,,
1003679,3/2/2022,647,267
1003679,3/8/2022,1385,535
1003679,3/11/2022,2011,558
1003679,3/18/2022,401,174
1003679,4/1/2022,1445,452
1003679,4/24/2022,1626,479
1002634,9/30/2016,144,72
1006064,5/8/2021,490,197
1004743,9/30/2016,519,175
1004743,6/15/2017,335,160
1004743,9/18/2017,412,215
1004743,10/16/2017,457,249
1004743,7/16/2020,158,81
1004743,7/20/2020,499,187
1004743,8/4/2020,526,132
1004743,8/30/2020,434,170
1004743,9/6/2020,546,271
1004743,11/11/2020,372,212
1004743,11/10/2021,919,434
1004743,11/11/2021,1029,276
1004743,3/2/2022,819,445
1004743,3/11/2022,836,224
1004743,3/18/2022,615,220
1004743,4/24/2022,515,143
1006044,7/19/2021,119,54
1006044,7/22/2021,24,9
1010392,4/20/2022,,
1010392,4/27/2022,441,208
1010392,9/22/2022,,
1010392,9/26/2022,,
1010392,9/27/2022,,
1004831,9/26/2022,1687,741
1004831,9/27/2022,,
1004831,10/8/2022,,
1007040,6/18/2017,202,26
1007040,6/20/2017,121,40
1007040,10/6/2017,256,67
1007040,9/20/2018,613,166
1007040,10/9/2018,99,22
1007040,5/14/2022,157,57
1007607,9/11/2016,73,74
1004548,9/16/2016,76,17
1004548,9/19/2017,374,54
1004548,8/21/2018,66,21
1004548,9/19/2018,119,34
1004548,9/22/2018,269,94
1004548,10/10/2018,157,53
1000291,5/14/2021,92,52
1003695,6/30/2022,161,58
1003582,8/15/2021,169,46
1003582,6/30/2022,2681,613
1003582,7/21/2022,4443,1219
1003582,9/17/2022,1074,134
1007797,5/6/2021,366,118