GHGRP ID,Average Emission Rate over all overpasses (kg/h),Average Uncertainty Rate over all overpasses (kg/h),Average reported GHGRP emissions (METRIC TONS CO2e),Number of days landfill was flown,Number of days where point sources were detected 
1000291,92,52,49435,1,1
1001633,193,43,24218,6,1
1001844,328,97,14808,3,1
1002035,671,524,49635,1,1
1002104,276,177,113561,3,1
1002106,38,22,96785,1,1
1002107,711,273,332925,22,20
1002236,1886,969,80464,3,3
1002276,260,97,206727,3,3
1002320,137,61,394289,16,10
1002476,,,54121,1,1
1002478,3230,1016,118017,7,7
1002634,24,12,62030,6,1
1002646,2447,695,58956,11,9
1002831,68,20,55091,1,1
1002896,140,34,47405,1,1
1002899,2149,575,147551,1,1
1002951,187,125,149185,1,1
1002992,56,16,150437,18,3
1003099,2848,757,181541,3,3
1003102,1212,389,125594,3,2
1003104,,,22166,2,1
1003198,12,5,102958,15,1
1003456,399,154,21432,2,1
1003471,43,22,77594,2,1
1003481,512,209,119677,2,2
1003544,1565,285,115755,1,1
1003582,2092,503,175112,4,4
1003601,1118,263,226332,4,2
1003619,,,62206,1,1
1003646,1621,675,79536,3,2
1003679,710,265,358643,41,29
1003686,348,99,79973,3,1
1003687,114,33,117075,4,2
1003695,161,58,134640,1,1
1003710,442,300,121939,6,3
1003732,1046,511,329235,3,2
1003818,109,49,55090,2,2
1003911,105,49,96697,9,7
1004010,640,284,97120,9,7
1004011,598,204,133921,15,13
1004014,3077,1022,228588,10,10
1004037,321,138,176900,6,5
1004118,4686,1914,180050,1,1
1004245,450,145,452070,8,4
1004256,2880,820,88382,8,8
1004399,3321,939,62267,2,2
1004406,24,8,29183,5,1
1004483,,,42520,1,1
1004487,3536,1195,126330,7,7
1004497,621,276,148871,4,3
1004548,82,21,16620,13,6
1004743,409,163,49077,22,16
1004815,,,326004,1,1
1004831,1687,741,70113,3,3
1004848,719,202,10384,2,1
1004850,1136,256,369193,3,3
1004856,,,260598,1,1
1004913,2513,798,38479,1,1
1005042,146,34,58360,8,3
1005493,1636,570,420078,6,3
1005638,2274,746,351800,7,7
1005717,3992,1617,269138,7,4
1006044,28,13,39635,5,2
1006064,490,197,40258,1,1
1006103,,,131721,2,1
1006179,1944,823,144782,11,11
1006261,603,108,52506,1,1
1006328,1649,581,113986,6,5
1006383,3608,1062,241351,1,1
1006777,1290,305,600272,4,3
1006790,1710,387,30115,9,8
1006859,,,399441,1,1
1006899,857,156,245877,5,2
1007040,103,27,31332,14,6
1007044,454,260,54765,3,2
1007082,588,184,127331,10,6
1007112,1193,537,152757,11,9
1007128,69,25,56322,1,1
1007219,,,60429,2,1
1007345,371,144,83732,10,9
1007521,62,15,203125,2,1
1007558,304,89,3210,1,2
1007607,10,11,29843,7,1
1007668,135,43,109693,10,4
1007684,,,54554,4,1
1007691,374,200,5897,1,1
1007693,498,238,109108,12,8
1007699,358,147,165082,11,8
1007709,62,23,29311,5,3
1007710,128,33,40646,1,1
1007745,287,201,203611,4,4
1007794,43,16,46917,3,1
1007797,366,118,29280,1,1
1007800,1265,401,250666,5,3
1007801,,,148127,1,1
1007816,29,18,204720,6,1
1007817,89,44,88280,4,2
1007837,30,18,86753,4,1
1007857,2170,669,110578,2,2
1007880,53,19,124618,7,2
1007951,44,15,15701,18,1
1007969,3207,1255,127687,4,4
1008034,63,20,202773,4,2
1008215,4771,1437,167443,1,1
1010207,28,8,545,2,1
1010392,275,130,135232,8,5