call_id,user_said,predicted_intent,intent_confidence,timestamp
001,My food never arrived,wrong_order,0.72,2024-01-28T14:23:14
002,I got the wrong burger,wrong_order,0.98,2024-01-28T14:24:07
003,My fries were missing,wrong_order,0.65,2024-01-28T14:25:32
004,The delivery was late,late_delivery,0.80,2024-01-28T14:26:12
005,My pizza is cold,cold_food,0.90,2024-01-28T14:27:45
006,I ordered a coke but got a sprite,wrong_order,0.88,2024-01-28T14:28:59
007,My order was completely wrong,wrong_order,0.92,2024-01-28T14:30:23
008,The delivery guy was rude,bad_service,0.76,2024-01-28T14:31:10
009,My order is missing a drink,wrong_order,0.70,2024-01-28T14:32:34
010,I got charged twice,refund_request,0.95,2024-01-28T14:33:49
011,The app crashed while ordering,technical_issue,0.82,2024-01-28T14:35:03
012,My promo code didn't work,promo_issue,0.78,2024-01-28T14:36:15
013,I asked for no onions but they put onions,wrong_order,0.85,2024-01-28T14:37:29
014,I never got a confirmation email,technical_issue,0.73,2024-01-28T14:38:41
015,The driver went to the wrong address,late_delivery,0.81,2024-01-28T14:40:02
016,My burger is raw,food_quality,0.93,2024-01-28T14:41:17
017,The restaurant canceled my order,order_canceled,0.89,2024-01-28T14:42:30
018,The app won't let me update my address,technical_issue,0.75,2024-01-28T14:43:48
019,I was overcharged,refund_request,0.96,2024-01-28T14:44:59
020,My food was soggy,cold_food,0.68,2024-01-28T14:46:14
021,The driver didn't call me,late_delivery,0.79,2024-01-28T14:47:26
022,The app won't accept my payment,technical_issue,0.88,2024-01-28T14:48:39
023,I got the wrong size drink,wrong_order,0.74,2024-01-28T14:49:55
024,The restaurant forgot my sauce,wrong_order,0.67,2024-01-28T14:51:07
025,I need to change my delivery time,modify_order,0.77,2024-01-28T14:52:22
026,The food was way too salty,food_quality,0.91,2024-01-28T14:53:36
027,Why is my order taking so long?,order_status,0.82,2024-01-28T14:54:49
028,My fries were cold,cold_food,0.83,2024-01-28T14:56:05
029,The driver dropped my food,bad_service,0.69,2024-01-28T14:57:17
030,I never got my refund,refund_request,0.94,2024-01-28T14:58:30
031,The delivery guy was very late,late_delivery,0.86,2024-01-28T14:59:44
032,My order says delivered but it's not here,late_delivery,0.79,2024-01-28T15:00:57
033,The driver was super friendly,positive_feedback,0.97,2024-01-28T15:02:12
034,The food was amazing,positive_feedback,0.99,2024-01-28T15:03:28
035,I want to cancel my order,modify_order,0.87,2024-01-28T15:04:40
036,My order was missing an item,wrong_order,0.73,2024-01-28T15:05:55
037,The app froze while checking out,technical_issue,0.84,2024-01-28T15:07:10
038,The restaurant said they never got my order,technical_issue,0.76,2024-01-28T15:08:23
039,My food was undercooked,food_quality,0.92,2024-01-28T15:09:35
040,The driver asked for extra money,bad_service,0.66,2024-01-28T15:10:50
041,I got charged but my order didn’t go through,technical_issue,0.90,2024-01-28T15:12:04
042,The packaging was torn,food_quality,0.71,2024-01-28T15:13:17
043,The app keeps logging me out,technical_issue,0.74,2024-01-28T15:14:29
044,The restaurant didn’t follow my special request,wrong_order,0.80,2024-01-28T15:15:44
045,The food was super greasy,food_quality,0.85,2024-01-28T15:16:58
046,My milkshake was melted,cold_food,0.82,2024-01-28T15:18:12
047,I need a refund for my order,refund_request,0.96,2024-01-28T15:19:26
048,The app won't let me apply my discount,technical_issue,0.79,2024-01-28T15:20:40
049,The driver delivered to the wrong house,late_delivery,0.83,2024-01-28T15:21:55
050,I ordered extra cheese but didn’t get it,wrong_order,0.77,2024-01-28T15:23:09
051,The driver left my food on the ground,bad_service,0.70,2024-01-28T15:24:23
052,My order was marked delivered but I don’t see it,late_delivery,0.75,2024-01-28T15:25:37
053,I got a completely different meal,wrong_order,0.88,2024-01-28T15:26:51
054,The food was stale,food_quality,0.80,2024-01-28T15:28:05
055,The app charged me the wrong amount,refund_request,0.95,2024-01-28T15:29:20
056,My order was prepared incorrectly,wrong_order,0.82,2024-01-28T15:30:33
057,The delivery guy was very polite,positive_feedback,0.98,2024-01-28T15:31:47
058,The restaurant closed before I got my food,order_canceled,0.87,2024-01-28T15:33:01
059,I had a great experience,positive_feedback,0.99,2024-01-28T15:34:15
060,My soup spilled everywhere,food_quality,0.78,2024-01-28T15:35:30
061,The food smelled weird,food_quality,0.86,2024-01-28T15:36:44
062,My meal was too spicy,food_quality,0.71,2024-01-28T15:37:58
063,I got the wrong drink,wrong_order,0.79,2024-01-28T15:39:12
064,I need help with my order,customer_support,0.83,2024-01-28T15:40:26
065,The driver was unprofessional,bad_service,0.67,2024-01-28T15:41:40
066,My food was missing toppings,wrong_order,0.81,2024-01-28T15:42:55